Sol	Espece	 Ratio_de_hauteur 
contamine	Agrostis_stolonifera	 1.99   
contamine	Agrostis_stolonifera	 3.24   
contamine	Agrostis_stolonifera	 2.83   
contamine	Agrostis_stolonifera	 1.17   
contamine	Agrostis_stolonifera	 2.27   
contamine	Agrostis_stolonifera	 1.32   
contamine	Agrostis_stolonifera	 2.40   
contamine	Agrostis_stolonifera	 1.43   
contamine	Agrostis_stolonifera	 1.71   
contamine	Agrostis_stolonifera	 1.80   
contamine	Agrostis_stolonifera	 1.28   
contamine	Agrostis_stolonifera	 1.35   
contamine	Agrostis_stolonifera	 2.71   
contamine	Agrostis_stolonifera	 2.40   
contamine	Agrostis_stolonifera	 2.35   
contamine	Agrostis_stolonifera	 3.08   
contamine	Agrostis_stolonifera	 1.46   
contamine	Agrostis_stolonifera	 1.52   
contamine	Agrostis_stolonifera	 2.15   
contamine	Agrostis_stolonifera	 2.31   
contamine	Agrostis_stolonifera	 2.50   
contamine	Agrostis_stolonifera	 1.65   
contamine	Agrostis_stolonifera	 2.03   
contamine	Agrostis_stolonifera	 2.61   
contamine	Agrostis_stolonifera	 1.80   
contamine	Agrostis_stolonifera	 1.67   
contamine	Agrostis_stolonifera	 1.40   
contamine	Agrostis_stolonifera	 4.07   
contamine	Agrostis_stolonifera	 1.09   
contamine	Agrostis_stolonifera	 2.70   
contamine	Agrostis_stolonifera	 2.20   
contamine	Agrostis_stolonifera	 1.67   
contamine	Agrostis_stolonifera	 1.48   
contamine	Agrostis_stolonifera	 1.98   
contamine	Agrostis_stolonifera	 1.35   
contamine	Agrostis_stolonifera	 1.24   
contamine	Agrostis_stolonifera	 2.29   
contamine	Agrostis_stolonifera	 2.08   
contamine	Agrostis_stolonifera	 1.40   
contamine	Centaurea_cyanus	 1.52   
contamine	Centaurea_cyanus	 1.00   
contamine	Centaurea_cyanus	 1.04   
contamine	Centaurea_cyanus	 1.59   
contamine	Centaurea_cyanus	 1.22   
contamine	Centaurea_cyanus	 1.60   
contamine	Centaurea_cyanus	 1.16   
contamine	Centaurea_cyanus	 3.80   
contamine	Centaurea_cyanus	 1.20   
contamine	Centaurea_cyanus	 1.14   
contamine	Centaurea_cyanus	 0.61   
contamine	Centaurea_cyanus	 0.98   
contamine	Centaurea_cyanus	 1.16   
contamine	Centaurea_cyanus	 2.67   
contamine	Centaurea_cyanus	 1.31   
contamine	Centaurea_cyanus	 1.11   
contamine	Centaurea_cyanus	 1.04   
contamine	Centaurea_cyanus	 1.35   
contamine	Centaurea_cyanus	 1.75   
contamine	Centaurea_cyanus	 1.38   
contamine	Centaurea_cyanus	 1.39   
contamine	Centaurea_cyanus	 1.84   
contamine	Centaurea_cyanus	 1.60   
contamine	Centaurea_cyanus	 0.79   
contamine	Centaurea_cyanus	 0.92   
contamine	Centaurea_cyanus	 1.80   
contamine	Centaurea_cyanus	 1.44   
contamine	Centaurea_cyanus	 1.85   
contamine	Centaurea_cyanus	 1.67   
contamine	Centaurea_cyanus	 0.91   
contamine	Centaurea_cyanus	 1.00   
contamine	Centaurea_cyanus	 1.26   
contamine	Centaurea_cyanus	 1.08   
contamine	Centaurea_cyanus	 1.41   
contamine	Centaurea_cyanus	 1.55   
contamine	Centaurea_cyanus	 1.10   
contamine	Centaurea_cyanus	 1.18   
contamine	Lolium_perenne	 1.08   
contamine	Lolium_perenne	 1.65   
contamine	Lolium_perenne	 1.30   
contamine	Lolium_perenne	 1.03   
contamine	Lolium_perenne	 1.33   
contamine	Lolium_perenne	 1.01   
